Prototype,Notes,POSCAR
CoU,"CoU (
B
a
) Structure","AB_cI16_199_a_a & a,x1,x2 --params=6.3557,0.294,0.0347 & I2_13     T^5 #199 (a^2) & cI16 & B_a & CoU & & N. C. Baenziger, R. E. Rundele, A. I. Snow and A. S. Wilson, Acta Cryst. 3, 34-40 (1950)
   1.0000000000000000
  -3.17785000000000   3.17785000000000   3.17785000000000
   3.17785000000000  -3.17785000000000   3.17785000000000
   3.17785000000000   3.17785000000000  -3.17785000000000
   Co    U
    4    4
Direct
   0.00000000000000  -0.08800000000000   0.50000000000000   Co    (8a)
  -0.08800000000000   0.50000000000000   0.00000000000000   Co    (8a)
   0.50000000000000   0.00000000000000  -0.08800000000000   Co    (8a)
   0.58800000000000   0.58800000000000   0.58800000000000   Co    (8a)
   0.00000000000000   0.43060000000000   0.50000000000000    U    (8a)
   0.06940000000000   0.06940000000000   0.06940000000000    U    (8a)
   0.43060000000000   0.50000000000000   0.00000000000000    U    (8a)
   0.50000000000000   0.00000000000000   0.43060000000000    U    (8a)"
Al3Ni2,"Al3Ni2 (
D
5
13
) Structure","A3B2_hP5_164_ad_d & a,c/a,z2,z3 --params=4.0282,1.21409066084,0.648,0.149 & P(-3)m1   D_{3d}^3 #164 (ad^2) & hP5 & D5_{13} & Al3Ni2 & & A. J. Bradley and A. Taylor, Phil. Mag. 23, 1049-1067 (1937)
   1.0000000000000000
   2.01410000000000  -3.48852353152400   0.00000000000000
   2.01410000000000   3.48852353152400   0.00000000000000
   0.00000000000000   0.00000000000000   4.89060000000000
   Al   Ni
    3    2
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Al    (1a)
   0.33333333333333   0.66666666666667   0.64800000000000   Al    (2d)
   0.66666666666667   0.33333333333333   0.35200000000000   Al    (2d)
   0.33333333333333   0.66666666666667   0.14900000000000   Ni    (2d)
   0.66666666666667   0.33333333333333   0.85100000000000   Ni    (2d)"
Cu2FeS4Sn,"Stannite (Cu2FeS4Sn,
H
2
6
) Structure","A2BC4D_tI16_121_d_a_i_b & a,c/a,x4,z4 --params=5.46,1.96428571429,0.245,0.132 & I(-4)2m   D_{2d}^{11} #121 (abdi) & tI16 & H2_6 & Cu2FeS4Sn & Stannite & L. O. Brockway, Zeitschrift f\""{u}r Kristallographie - Crystalline Materials 89, 434-441 (1934)
   1.0000000000000000
  -2.73000000000000   2.73000000000000   5.36250000001170
   2.73000000000000  -2.73000000000000   5.36250000001170
   2.73000000000000   2.73000000000000  -5.36250000001170
   Cu   Fe    S   Sn
    2    1    4    1
Direct
   0.25000000000000   0.75000000000000   0.50000000000000   Cu    (4d)
   0.75000000000000   0.25000000000000   0.50000000000000   Cu    (4d)
   0.00000000000000   0.00000000000000   0.00000000000000   Fe    (2a)
   0.37700000000000   0.37700000000000   0.49000000000000    S    (8i)
   0.62300000000000   0.11300000000000   0.00000000000000    S    (8i)
   0.88700000000000   0.88700000000000   0.51000000000000    S    (8i)
   0.11300000000000   0.62300000000000   0.00000000000000    S    (8i)
   0.50000000000000   0.50000000000000   0.00000000000000   Sn    (2b)"
Pa,"α
–Pa (
A
a
) Structure","A_tI2_139_a & a,c/a --params=3.932,0.823499491353 & I4/mmm     D_{4h}^{17} #139 (a) & tI2 & A_a & Pa & alpha & W. H. Zachariasen, Acta Cryst. 12, 698-700 (1959)
   1.0000000000000000
 -1.966000000000  1.966000000000  1.619000000000
  1.966000000000 -1.966000000000  1.619000000000
  1.966000000000  1.966000000000 -1.619000000000
   Pa
    1
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Pa    (2a)"
BN,"Original BN (
B12
) Structure","AB_hP4_186_b_a & a,c/a,z1,z2 --params=2.51,2.66932270916,0.0,0.05 & P6_3mc    C_{6v}^4 #186 (ab) & hP4 & B12 & BN & & A. Bragrer, Acta Physicochimica URSS 7, 699-706 (1937)
   1.0000000000000000
   1.25500000000000  -2.17372376349894   0.00000000000000
   1.25500000000000   2.17372376349894   0.00000000000000
   0.00000000000000   0.00000000000000   6.70000000000000
    B    N
    2    2
Direct
   0.33333333333333   0.66666666666667   0.05000000000000    B    (2b)
   0.66666666666667   0.33333333333333   0.55000000000000    B    (2b)
   0.00000000000000   0.00000000000000   0.00000000000000    N    (2a)
   0.00000000000000   0.00000000000000   0.50000000000000    N    (2a)"
MnP,"MnP (
B31
) Structure","AB_oP8_62_c_c & a,b/a,c/a,x1,z1,x2,z2 --params=5.24160,0.606723137973,1.12622100122,0.0056,0.1952,0.1879,0.5696 & Pnma      D_{2h}^16 #62 (c^2) & oP8 & B31 & MnP & & Helmer Fjellv{\aa}g and Arne Kjekshus, Acta Chemica Scandinvaca A 38, 563-573 (1984)
   1.0000000000000000
   5.24160000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.18020000000000   0.00000000000000
   0.00000000000000   0.00000000000000   5.90320000000000
   Mn    P
    4    4
Direct
   0.00560000000000   0.25000000000000   0.19520000000000   Mn    (4c)
  -0.00560000000000   0.75000000000000  -0.19520000000000   Mn    (4c)
   0.49440000000000   0.75000000000000   0.69520000000000   Mn    (4c)
   0.50560000000000   0.25000000000000   0.30480000000000   Mn    (4c)
   0.18790000000000   0.25000000000000   0.56960000000000    P    (4c)
  -0.18790000000000   0.75000000000000  -0.56960000000000    P    (4c)
   0.31210000000000   0.75000000000000   0.06960000000000    P    (4c)
   0.68790000000000   0.25000000000000  -0.06960000000000    P    (4c)"
CrFe4Ni3,Model of Ferrite Structure (cI16),"AB4C3_cI16_229_a_c_b & a --params=5.74 & Im(-3)m   O_h^9 #229 (abc) & cI16 & & CrFe4Ni3 & hypothetical ferrite &
   1.0000000000000000
  -2.87000000000000   2.87000000000000   2.87000000000000
   2.87000000000000  -2.87000000000000   2.87000000000000
   2.87000000000000   2.87000000000000  -2.87000000000000
   Cr   Fe   Ni
    1    4    3
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Cr    (2a)
   0.00000000000000   0.00000000000000   0.50000000000000   Fe    (8c)
   0.00000000000000   0.50000000000000   0.00000000000000   Fe    (8c)
   0.50000000000000   0.00000000000000   0.00000000000000   Fe    (8c)
   0.50000000000000   0.50000000000000   0.50000000000000   Fe    (8c)
   0.00000000000000   0.50000000000000   0.50000000000000   Ni    (6b)
   0.50000000000000   0.00000000000000   0.50000000000000   Ni    (6b)
   0.50000000000000   0.50000000000000   0.00000000000000   Ni    (6b)"
As3Co,"Skutterudite (CoAs3,
D
0
2
) Structure","A3B_cI32_204_g_c & a,y2,z2 --params=7.58,0.3431,0.8497 & Im(-3)    T_h^5 #204 (cg) & cI32 & D0_2 & CoAs3 & Skutterudite & Neil Mandel and Jerry Donohue, Acta Cryst. B 27, 2288-2289 (1971)
   1.0000000000000000
  -3.79000000000000   3.79000000000000   3.79000000000000
   3.79000000000000  -3.79000000000000   3.79000000000000
   3.79000000000000   3.79000000000000  -3.79000000000000
   As   Co
   12    4
Direct
   0.15030000000000   0.34310000000000   0.49340000000000   As   (24g)
   0.15030000000000   0.65690000000000   0.80720000000000   As   (24g)
   0.19280000000000   0.84970000000000   0.34310000000000   As   (24g)
   0.34310000000000   0.19280000000000   0.84970000000000   As   (24g)
   0.34310000000000   0.49340000000000   0.15030000000000   As   (24g)
   0.49340000000000   0.15030000000000   0.34310000000000   As   (24g)
   0.50660000000000   0.84970000000000   0.65690000000000   As   (24g)
   0.65690000000000   0.50660000000000   0.84970000000000   As   (24g)
   0.65690000000000   0.80720000000000   0.15030000000000   As   (24g)
   0.80720000000000   0.15030000000000   0.65690000000000   As   (24g)
   0.84970000000000   0.34310000000000   0.19280000000000   As   (24g)
   0.84970000000000   0.65690000000000   0.50660000000000   As   (24g)
   0.00000000000000   0.00000000000000   0.50000000000000   Co    (8c)
   0.00000000000000   0.50000000000000   0.00000000000000   Co    (8c)
   0.50000000000000   0.00000000000000   0.00000000000000   Co    (8c)
   0.50000000000000   0.50000000000000   0.50000000000000   Co    (8c)"
CuTi3,"CuTi3 (
L
6
0
) Structure","AB3_tP4_123_a_ce & a,c/a --params=4.158,0.864357864358 & P4/mmm    D_{4h}^1 #123 (ace) & tP4 & L6_0 & CuTi3 & & N. Karlsson, Journal of the J. Inst. Met. 79, 391-405 (1951)
   1.0000000000000000
   4.15800000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.15800000000000   0.00000000000000
   0.00000000000000   0.00000000000000   3.59400000000000
   Cu   Ti
    1    3
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Cu    (1a)
   0.50000000000000   0.50000000000000   0.00000000000000   Ti    (1c)
   0.00000000000000   0.50000000000000   0.50000000000000   Ti    (2e)
   0.50000000000000   0.00000000000000   0.50000000000000   Ti    (2e)"
CFe2,"η
–Fe2C Structure","AB2_oP6_58_a_g & a,b/a,c/a,x2,y2 --params=4.704,0.917942176871,0.601615646259,0.66667,0.25 & Pnnm      D_{2h}^{12} #58 (ag) & oP6 & & Fe2C & eta & Y. Hirotsu and S. Nagakura, Acta\ Metallurgica 20, 645-655 (1972)
   1.0000000000000000
   4.70400000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.31800000000000   0.00000000000000
   0.00000000000000   0.00000000000000   2.83000000000000
    C   Fe
    2    4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000    C    (2a)
   0.50000000000000   0.50000000000000   0.50000000000000    C    (2a)
   0.16666666700000   0.25000000000000   0.50000000000000   Fe    (4g)
  -0.16666666700000   0.75000000000000   0.50000000000000   Fe    (4g)
   0.33333333300000   0.75000000000000   0.00000000000000   Fe    (4g)
   0.66666666700000   0.25000000000000   0.00000000000000   Fe    (4g)"
FTl,"TlF (
B24
) Structure","AB_oF8_69_a_b & a,b/a,c/a --params=6.08,0.903782894737,0.851973684211 & Fmmm      D_{2h}^{23} #69 (ab) & oF8 & B24 & TlF & & J. A. A. Ketellar, Zeitschrift f\""{u}r Kristallographie - Crystalline Materials 92, 30-38 (1935)
   1.0000000000000000
   0.00000000000000   2.74750000000000   2.59000000000000
   3.04000000000000   0.00000000000000   2.59000000000000
   3.04000000000000   2.74750000000000   0.00000000000000
    F   Tl
    1    1
Direct
   0.00000000000000   0.00000000000000   0.00000000000000    F    (4a)
   0.50000000000000   0.50000000000000   0.50000000000000   Tl    (4b)"
Ga,"α
–Ga (
A11
) Structure","A_oC8_64_f & a,b/a,c/a,y1,z1 --params=4.523,1.69378730931,1.0002210922,0.1549,0.081 & Cmca      D_{2h}^{18} #64 (f) & oC8 & A11 & Ga & alpha & B. D. Sharma and J. Donohue, Zeitschrift f\""{u}r Kristallographie 117, 293-300 (1962)
   1.0000000000000000
   2.26150000000000  -3.83050000000000   0.00000000000000
   2.26150000000000   3.83050000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.52400000000000
   Ga
    4
Direct
   0.15490000000000   0.84510000000000   0.91900000000000   Ga    (8f)
   0.34510000000000   0.65490000000000   0.41900000000000   Ga    (8f)
   0.65490000000000   0.34510000000000   0.58100000000000   Ga    (8f)
   0.84510000000000   0.15490000000000   0.08100000000000   Ga    (8f)"
H3S,High–pressure H3S Structure,"A3B_cI8_229_b_a & a --params=2.984 & Im(-3)m   O_h^9 #229 (ab) & cI8 & & H3S & Predicted high pressure phase ~ 200 GPa & D. Duan et al.,  Sci. Rep. 4, 6968 (2014)
   1.0000000000000000
  -1.49200000000000   1.49200000000000   1.49200000000000
   1.49200000000000  -1.49200000000000   1.49200000000000
   1.49200000000000   1.49200000000000  -1.49200000000000
    H    S
    3    1
Direct
   0.00000000000000   0.50000000000000   0.50000000000000    H    (6b)
   0.50000000000000   0.00000000000000   0.50000000000000    H    (6b)
   0.50000000000000   0.50000000000000   0.00000000000000    H    (6b)
   0.00000000000000   0.00000000000000   0.00000000000000    S    (2a)"
FTl,TlF–II Structure,"AB_oP8_57_d_d & a,b/a,c/a,x1,y1,x2,y2 --params=6.09556,0.900425883758,0.850291031505,0.8593,0.0628,0.255,0.0096 & Pbcm      D_{2h}^{11} #57 (d^2) & oP8 & & TlF & TlF-II & P. Berastegui and S. Hull, J. Solid State Chem. 150, 266-275 (2000)
   1.0000000000000000
   6.09556000000000   0.00000000000000   0.00000000000000
   0.00000000000000   5.48860000000000   0.00000000000000
   0.00000000000000   0.00000000000000   5.18300000000000
    F   Tl
    4    4
Direct
   0.14070000000000  -0.06280000000000   0.75000000000000    F    (4d)
   0.14070000000000   0.56280000000000   0.25000000000000    F    (4d)
   0.85930000000000   0.06280000000000   0.25000000000000    F    (4d)
   0.85930000000000   0.43720000000000   0.75000000000000    F    (4d)
   0.25500000000000   0.00960000000000   0.25000000000000   Tl    (4d)
   0.25500000000000   0.49040000000000   0.75000000000000   Tl    (4d)
   0.74500000000000  -0.00960000000000   0.75000000000000   Tl    (4d)
   0.74500000000000   0.50960000000000   0.25000000000000   Tl    (4d)"
Po,"α
–Po (
A
h
, simple cubic) Structure","A_cP1_221_a & a --params=3.34 & Pm(-3)m   O_h^1 #221 (a) & cP1 & A_h & Po & alpha & W. H. Beamer and C. R. Maxwell, J. Chem. Physics 14, 569 (1946)
   1.0000000000000000
   3.34000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.34000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   3.34000000000000
   Po
    1
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Po    (1a)"
LiNbO3,Paraelectric LiNbO3 Structure,"ABC3_hR10_167_a_b_e & a,c/a,x3 --params=5.285,2.62039735099,0.85756666666667 & R(-3)c    D_{3d}^6 #167 (abe) & hR10 & & LiNbO3 & Paraelectric & H. Boysen and F. Altorfer, Acta Cryst. B 50, 405-414 (1994)
   1.0000000000000000
   2.64250000000000  -1.52564808633359   4.61626666666072
   0.00000000000000   3.05129617266717   4.61626666666072
  -2.64250000000000  -1.52564808633359   4.61626666666072
   Li   Ni    O
    2    2    6
Direct
   0.25000000000000   0.25000000000000   0.25000000000000   Li    (2a)
   0.75000000000000   0.75000000000000   0.75000000000000   Li    (2a)
   0.00000000000000   0.00000000000000   0.00000000000000   Nb    (2b)
   0.50000000000000   0.50000000000000   0.50000000000000   Nb    (2b)
   0.14243333333333   0.35756666666667   0.75000000000000    O    (6e)
   0.25000000000000   0.85756666666667   0.64243333333333    O    (6e)
   0.35756666666667   0.75000000000000   0.14243333333333    O    (6e)
   0.64243333333333   0.25000000000000   0.85756666666667    O    (6e)
   0.75000000000000   0.14243333333333   0.35756666666667    O    (6e)
   0.85756666666667   0.64243333333333   0.25000000000000    O    (6e)"
BiI3,"BiI3 (
D
0
5
) Structure","AB3_hR8_148_c_f & a,c/a,x1,x2,y2,z2 --params=7.49626,2.75900649124,0.33333,0.088,0.755,0.421 & R(-3)     C_{3i}^2 #148 (cf) & hR8 & D0_5 & BiI3 & & H. Braekken, Zeitschrift f\""{u}r Kristallographie - Crystalline Materials 74, 67â€“72 (1930)
   1.0000000000000000
   3.74813000000000  -2.16398386445771   6.89407666667425
   0.00000000000000   4.32796772891543   6.89407666667425
  -3.74813000000000  -2.16398386445771   6.89407666667425
   Bi    I
    2    6
Direct
   0.33333333333333   0.33333333333333   0.33333333333333   Bi    (2c)
   0.66666666666667   0.66666666666667   0.66666666666667   Bi    (2c)
  -0.08800000000000   0.24500000000000   0.57900000000000    I    (6f)
   0.08800000000000   0.75500000000000   0.42100000000000    I    (6f)
   0.24500000000000   0.57900000000000  -0.08800000000000    I    (6f)
   0.42100000000000   0.08800000000000   0.75500000000000    I    (6f)
   0.57900000000000  -0.08800000000000   0.24500000000000    I    (6f)
   0.75500000000000   0.42100000000000   0.08800000000000    I    (6f)"
O4Pt3,Pt3O4 Structure,"A4B3_cI14_229_c_b & a --params=6.226 & Im(-3)m   O_h^9 #229 (bc) & cI14 & & Pt3O4 & & E. E. Galloni and A. E. Roffo Jr., J. Chem. Phys. 9, 857-859 (1941)
   1.0000000000000000
  -3.11300000000000   3.11300000000000   3.11300000000000
   3.11300000000000  -3.11300000000000   3.11300000000000
   3.11300000000000   3.11300000000000  -3.11300000000000
    O   Pt
    4    3
Direct
   0.00000000000000   0.00000000000000   0.50000000000000    O    (8c)
   0.00000000000000   0.50000000000000   0.00000000000000    O    (8c)
   0.50000000000000   0.00000000000000   0.00000000000000    O    (8c)
   0.50000000000000   0.50000000000000   0.50000000000000    O    (8c)
   0.00000000000000   0.50000000000000   0.50000000000000   Pt    (6b)
   0.50000000000000   0.00000000000000   0.50000000000000   Pt    (6b)
   0.50000000000000   0.50000000000000   0.00000000000000   Pt    (6b)"
Si,ST12 Structure of Si,"A_tP12_96_ab & a,c/a,x1,x2,y2,z2 --params=5.51889,1.25999974633,0.0849,0.1752,0.3792,0.2742 & P4_32_12  D_4^8 #96 (ab) & tP12 & & Si & ST12 & J. Crain et al., Phys. Rev. B 49, 5329-5340 (1994)
   1.0000000000000000
   5.51889083000000   0.00000000000000   0.00000000000000
   0.00000000000000   5.51889083000000   0.00000000000000
   0.00000000000000   0.00000000000000   6.95380245000000
   Si
   12
Direct
   0.08490000000000   0.08490000000000   0.00000000000000   Si    (4a)
  -0.08490000000000  -0.08490000000000   0.50000000000000   Si    (4a)
   0.41510000000000   0.58490000000000   0.75000000000000   Si    (4a)
   0.58490000000000   0.41510000000000   0.25000000000000   Si    (4a)
   0.12080000000000   0.67520000000000   0.02420000000000   Si    (8b)
   0.17520000000000   0.37920000000000   0.27420000000000   Si    (8b)
   0.32480000000000   0.87920000000000   0.47580000000000   Si    (8b)
   0.37920000000000   0.17520000000000   0.72580000000000   Si    (8b)
   0.62080000000000   0.82480000000000   0.22580000000000   Si    (8b)
   0.67520000000000   0.12080000000000  -0.02420000000000   Si    (8b)
   0.82480000000000   0.62080000000000   0.77420000000000   Si    (8b)
   0.87920000000000   0.32480000000000   0.52420000000000   Si    (8b)"
BeO,"β
–BeO Structure","AB_tP8_136_g_f & a,c/a,x1,x2 --params=4.75,0.576842105263,0.31,0.336 & P4_2/mnm  D_{4h}^{14} #136 (fg) & tP8 & & BeO & beta & D. K. Smith, C. F. Cline, and S. B. Austerman, Acta Cryst. 18, 393-397 (1965)
   1.0000000000000000
   4.75000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   4.75000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   2.74000000000000
   Be    O
    4    4
Direct
   0.16400000000000   0.16400000000000   0.50000000000000   Be    (4g)
   0.33600000000000   0.66400000000000   0.00000000000000   Be    (4g)
   0.66400000000000   0.33600000000000   0.00000000000000   Be    (4g)
   0.83600000000000   0.83600000000000   0.50000000000000   Be    (4g)
   0.19000000000000   0.81000000000000   0.50000000000000    O    (4f)
   0.31000000000000   0.31000000000000   0.00000000000000    O    (4f)
   0.69000000000000   0.69000000000000   0.00000000000000    O    (4f)
   0.81000000000000   0.19000000000000   0.50000000000000    O    (4f)"
